userid,pagetype,member_tier,log_in_status,page_duration,start_time
6d,Cart,NULL,N,15,11/1/2019 11:28
bc,SearchResult,NULL,N,60,11/1/2019 11:28
66,Other,Base,Y,90,11/1/2019 11:29
66,Other,NULL,N,120,11/1/2019 11:31
66,Product,NULL,N,120,11/1/2019 11:31
66,Product,NULL,N,30,11/1/2019 11:31
66,Product,NULL,N,60,11/1/2019 11:32
66,Category,NULL,N,650,11/1/2019 11:32
8f,Other,NULL,N,120,11/1/2019 11:32
6d,Product,NULL,N,30,11/1/2019 11:33
b1,Other,NULL,N,60,11/1/2019 11:33
b1,Product,NULL,N,455,11/1/2019 11:33
bc,Product,NULL,N,120,11/1/2019 11:34
10,Product,NULL,N,89.14285714,11/1/2019 11:35
3c,Category,NULL,N,15,11/1/2019 11:35
bc,Category,NULL,N,510,11/1/2019 11:35
3c,Other,NULL,N,90,11/1/2019 11:37
4d,Product,NULL,N,60,11/1/2019 11:37
4d,Homepage,NULL,N,20,11/1/2019 11:37
4d,SearchResult,NULL,N,60,11/1/2019 11:37
4d,Other,NULL,N,60,11/1/2019 11:38
da,Product,NULL,N,60,11/1/2019 11:41
52,Product,NULL,N,60,11/1/2019 11:44
38,Category,NULL,N,60,11/1/2019 11:47
1e,Product,NULL,N,60,11/1/2019 11:48
49,Product,NULL,N,180,11/1/2019 11:49
49,Product,NULL,N,720,11/1/2019 11:50
6c,Other,NULL,N,60,11/1/2019 11:50
b0,Product,NULL,N,60,11/1/2019 11:50
b0,Other,NULL,N,60,11/1/2019 11:50
b0,Other,NULL,N,60,11/1/2019 11:52
b0,Category,NULL,N,210,11/1/2019 11:52
b0,SearchResult,NULL,N,60,11/1/2019 11:52
b0,Product,NULL,N,130,11/1/2019 11:53
b0,Other,NULL,N,50,11/1/2019 11:53
b0,Product,NULL,N,135,11/1/2019 11:54
b0,Checkout,Base,Y,87,11/1/2019 11:54
b0,Product,NULL,N,60,11/1/2019 11:54
b0,Product,NULL,N,60,11/1/2019 11:54
b0,Other,NULL,N,60,11/1/2019 11:54
6c,Category,NULL,N,60,11/1/2019 11:55
b0,Category,NULL,N,255,11/1/2019 11:56
b0,Product,NULL,N,450,11/1/2019 11:56
b0,Category,NULL,N,60,11/1/2019 11:56
b0,Product,NULL,N,120,11/1/2019 11:56
5a,SearchResult,NULL,N,120,11/1/2019 11:57
fc,Product,NULL,N,60,11/1/2019 11:57
fc,Category,NULL,N,300,11/1/2019 12:00
23,Product,NULL,N,60,11/1/2019 12:01
53,Product,NULL,N,240,11/1/2019 12:02
21,Category,NULL,N,90,11/1/2019 12:05
21,Product,NULL,N,40,11/1/2019 12:06
b0,Category,NULL,N,70,11/1/2019 12:06
